Year,Month,LicenseNo,PermitDate,ExpireDate,TariffCode,StatisticalCode,Buyer,BuyerCountryCode,BuyerCountryName,Seller,OriginCountryCode,OriginCountryName,BirthplaceCountryCode,BirthplaceCountryName,Vehicle,CustomPortCode,CustomPortName,Weight,WeightUnit,Quantity,QuantityUnit,PricePerUnit,CurrencyCode,CurrencyName,ExchangeRate,TotalPrice,TotalPriceType,CompanyTaxNo,CompanyName
2565,1,WTO-22010002-22010001,16:01.7,00:00.0,17019990,1,NULL,NULL,NULL,Patis France ,BE,BELGIUM,FR,FRANCE,ONE HUMBER,2801,??????????????????????????????,0.05,TNE,5,BG,2,EUR,????,38.3021,3638.6995,FOB,1.06E+11,?????????????? (?????????) ?????
2565,8,WTO-22080064-22080063,47:52.1,00:00.0,17019910,3,NULL,NULL,NULL,MERCK KGaA,DE,GERMANY,DE,GERMANY,QR0836,1190,?????????????????,0.001,TNE,1,C62,5630,THB,???,1,5630.31,CPT,1.06E+11,?????? ?????? ?????
2565,4,WTO-22030019-22040020,33:34.3,00:00.0,17019910,4,NULL,NULL,NULL,THANH THANH CONG-BIEN HOA JOINT STOCK COMPANY,VN,VIET NAM,VN,VIET NAM,SKY RAINBOW  0004S,2801,??????????????????????????????,20,TNE,20,BG,672,USD,???????????,32.3845,435571.525,CFR,1.06E+11,???????? (????????) ?????
2565,3,WTO-22030020-22030019,21:42.9,00:00.0,17019910,90,JELLY BELLY CANDY COMPANY (THAILAND) LTD.,US,UNITED STATES,JELLY BELLY CANDY COMPANAY,US,UNITED STATES,US,UNITED STATES,BR201,1190,?????????????????,3.0617,TNE,135,5M1,26,USD,???????????,32.3845,114981.1673,EXW,2.16E+11,????? ????? ?????? ??????? (?????????) ?????
2565,4,WTO-22040021-22040021,44:31.7,00:00.0,17019910,3,NULL,NULL,NULL,MERCK KGaA,DE,GERMANY,DE,GERMANY,XJ921,1190,?????????????????,0.004,TNE,4,C62,1165,THB,???,1,4660.4,CPT,1.06E+11,?????? ?????? ?????
2565,9,WTO-22090072-22090070,22:30.2,00:00.0,17019990,1,NULL,NULL,NULL,Patis France ,BE,BELGIUM,FR,FRANCE,AL DAHNA EXPRESS,2801,??????????????????????????????,0.12,TNE,12,BG,2,EUR,????,36.3918,8690.3618,FOB,1.06E+11,?????????????? (?????????) ?????
2565,7,WTO-22070054-22070052,39:10.8,00:00.0,17019910,2,NULL,NULL,NULL,Jelly Belly Candy Co.,US,UNITED STATES,US,UNITED STATES,CMA CGM LOIRE,2801,??????????????????????????????,17.35,TNE,765,5M1,26,USD,???????????,35.5056,708379.3267,FOB,2.16E+11,????? ????? ?????? ??????? (?????????) ?????
2565,3,WTO-22030018-22030018,03:33.6,00:00.0,17019910,3,NULL,NULL,NULL,MERCK KGaA,DE,GERMANY,DE,GERMANY,XJ921,1190,?????????????????,0.012,TNE,12,C62,1689,THB,???,1,20262.12,CPT,1.06E+11,?????? ?????? ?????
2565,3,WTO-22030012-22030012,44:43.4,00:00.0,17019990,1,NULL,NULL,NULL,Patis France ,BE,BELGIUM,FR,FRANCE,HMM GAON,2801,??????????????????????????????,0.35,TNE,35,BG,2,EUR,????,37.9617,25244.5305,FOB,1.06E+11,?????????????? (?????????) ?????
2565,5,WTO-22050032-22050032,17:36.6,00:00.0,17011400,90,NULL,NULL,NULL,PATEL RETAIL PVT LTD,IN,INDIA,IN,INDIA,MOL GENESIS V.115E,2801,??????????????????????????????,2.025,TNE,135,CT,12,USD,???????????,33.9219,56670.7742,CIF,1.06E+11,?????? ???????? ???????? ????? ??????????? ?????
